majorTitle,prefix,courseCode,semesterNumber,catalogYear
Computer Science (B.S),CSCE,1001,1,2021-2022
Computer Science (B.S),PHYS,1011,1,2021-2022
Computer Science (B.S),PHYS,1012,1,2021-2022
Computer Science (B.S),MACT,1122,1,2021-2022
Computer Science (B.S),RHET,1010,1,2021-2022
Computer Science (B.S),CORE,1010,1,2021-2022
Computer Science (B.S),CSCE,1101,2,2021-2022
Computer Science (B.S),CSCE,1102,2,2021-2022
Computer Science (B.S),PHYS,1021,2,2021-2022
Computer Science (B.S),PHYS,1022,2,2021-2022
Computer Science (B.S),MACT,2123,2,2021-2022
Computer Science (B.S),RHET,1020,2,2021-2022
Computer Science (B.S),LALT,1020,2,2021-2022
Computer Science (B.S),SCI,1020,2,2021-2022
Computer Science (B.S),CSCE,2301,3,2021-2022
Computer Science (B.S),CSCE,2302,3,2021-2022
Computer Science (B.S),MACT,2132,3,2021-2022
Computer Science (B.S),MACT,2131,3,2021-2022
Computer Science (B.S),XXXX,-2,3,2021-2022
Computer Science (B.S),PHIL,2100,3,2021-2022
Computer Science (B.S),CSCE,2202,4,2021-2022
Computer Science (B.S),CSCE,2203,4,2021-2022
Computer Science (B.S),CSCE,2303,4,2021-2022
Computer Science (B.S),CSCE,2501,4,2021-2022
Computer Science (B.S),MACT,3211,4,2021-2022
Computer Science (B.S),XXXX,-3,4,2021-2022
Computer Science (B.S),CSCE,3104,5,2021-2022
Computer Science (B.S),CSCE,3301,5,2021-2022
Computer Science (B.S),CSCE,3302,5,2021-2022
Computer Science (B.S),XXXX,-10,5,2021-2022
Computer Science (B.S),MACT,3223,5,2021-2022
Computer Science (B.S),XXXX,-7,5,2021-2022
Computer Science (B.S),CSCE,3401,6,2021-2022
Computer Science (B.S),CSCE,3402,6,2021-2022
Computer Science (B.S),CSCE,3701,6,2021-2022
Computer Science (B.S),XXXX,-10,6,2021-2022
Computer Science (B.S),XXXX,-10,6,2021-2022
Computer Science (B.S),XXXX,-8,6,2021-2022
Computer Science (B.S),XXXX,-4,6,2021-2022
Computer Science (B.S),CSCE,4201,7,2021-2022
Computer Science (B.S),CSCE,4950,7,2021-2022
Computer Science (B.S),CSCE,4980,7,2021-2022
Computer Science (B.S),XXXX,-10,7,2021-2022
Computer Science (B.S),XXXX,-10,7,2021-2022
Computer Science (B.S),XXXX,-10,7,2021-2022
Computer Science (B.S),XXXX,-9,7,2021-2022
Computer Science (B.S),CSCE,4101,8,2021-2022
Computer Science (B.S),CSCE,4981,8,2021-2022
Computer Science (B.S),XXXX,-6,8,2021-2022
Computer Science (B.S),XXXX,-9,8,2021-2022
Computer Science (B.S),XXXX,-9,8,2021-2022
Computer Science (B.S),MACT,1121,1,2021-2022
